Country/area,Technology/source,Year,Value_TWh
Italy,Liquid Biofuels,2021,0.0328820085259003
Italy,Other RE,2020,0.04798151954695225
Italy,Other RE,2021,0.04842979570076612
Italy,Pellets,2020,0.01753160766262663
Italy,Pellets,2021,0.01834172864828803
Italy,RenWaste,2020,0.010604212105172508
Italy,RenWaste,2021,0.011311948282596329
Italy,Solar PV,2020,0.022446147802265094
Italy,Solar PV,2021,0.022948811753742426
Italy,Solar Thermal,2020,0.00458755438010394
Italy,Solar Thermal,2021,0.004789878029118402
Italy,Solid Biofuels,2020,0.11515755428484649
Italy,Solid Biofuels,2021,0.12397036557328167
Italy,Wind,2020,0.01688449427212335
Italy,Wind,2021,0.019180355798676853
Latvia,Biogas,2020,0.0008017912389842764
Latvia,Biogas,2021,0.0007071198124154923
Latvia,Charcoal,2020,2.2493415445884e-05
Latvia,Charcoal,2021,2.2044334186595993e-05
Latvia,Electricity,2020,0.0037536166061018007
Latvia,Electricity,2021,0.0038844967715451215
Latvia,GrandTotal,2020,0.0344291665887804
Latvia,GrandTotal,2021,0.03642342292142629
Latvia,Heat,2020,0.0029610240778306235
Latvia,Heat,2021,0.003529470221563486
Latvia,Hydropower,2020,0.0025719436752963546
Latvia,Hydropower,2021,0.00269523670351669
Latvia,Liquid Biofuels,2020,0.0009536067698709064
Latvia,Liquid Biofuels,2021,0.0009591809331305222
Latvia,Other RE,2020,1.9676240741999997e-05
Latvia,Other RE,2021,2.0917464305042398e-05
Latvia,Pellets,2020,-0.0002016806044656871
Latvia,Pellets,2021,-0.00045735541278012047
Latvia,RenWaste,2020,0.0007336983131062151
Latvia,RenWaste,2021,0.0008006220690586464
Latvia,Solar PV,2020,4.789093295869534e-06
Latvia,Solar PV,2021,6.765474161411082e-06
Latvia,Solar Thermal,2020,8.427058318969446e-06
Latvia,Solar Thermal,2021,7.669648049315984e-06
Latvia,Solid Biofuels,2020,0.022625051416771912
Latvia,Solid Biofuels,2021,0.024106474910158437
Latvia,Wind,2020,0.00017472928339733236
Latvia,Wind,2021,0.00014077999169666484
Lithuania,Biogas,2020,0.0004587382480572254
Lithuania,Biogas,2021,0.0005188691547574715
Lithuania,Charcoal,2020,4.871991531175999e-05
Lithuania,Charcoal,2021,7.367401827631999e-05
Lithuania,Electricity,2020,0.005053037343566753
Lithuania,Electricity,2021,0.0060953231720101845
Lithuania,GrandTotal,2020,0.034514353663048745
Lithuania,GrandTotal,2021,0.03919326694713856
Lithuania,Heat,2020,0.00419188647406085
Lithuania,Heat,2021,0.0048674686514867185
Lithuania,Hydropower,2020,0.0004201284613265692
Lithuania,Hydropower,2021,0.0006043804073161562
Lithuania,Liquid Biofuels,2020,0.0019940133853127997
Lithuania,Liquid Biofuels,2021,0.00245781710237952
Lithuania,Other RE,2020,0.0005842686074447998
Lithuania,Other RE,2021,0.0012287233630416
Lithuania,Pellets,2020,0.0033553794807780063
Lithuania,Pellets,2021,0.0036435769673961163
Lithuania,RenWaste,2020,0.0006941189929311112
Lithuania,RenWaste,2021,0.001107159521438536
Lithuania,Solar PV,2020,0.00018001512250678028
Lithuania,Solar PV,2021,0.0003005363088318809
Lithuania,Solid Biofuels,2020,0.01536534059982973
Lithuania,Solid Biofuels,2021,0.01615087301804328
Lithuania,Wind,2020,0.0021687070306862267
Lithuania,Wind,2021,0.0021448652618768246
Luxembourg,Biogas,2020,0.0003022707305946418
Luxembourg,Biogas,2021,0.0002713853061097059
Luxembourg,Electricity,2020,0.002891733654626168
Luxembourg,Electricity,2021,0.0030967293849860876
Luxembourg,GrandTotal,2020,0.01043563099056908
Luxembourg,GrandTotal,2021,0.010853820414714018
Luxembourg,Heat,2020,0.0008633438169406347
Luxembourg,Heat,2021,0.000923746669887802
Luxembourg,Hydropower,2020,0.00017579968868719172
Luxembourg,Hydropower,2021,0.00021457093942099404
Luxembourg,Liquid Biofuels,2020,0.0027617719766330996
Luxembourg,Liquid Biofuels,2021,0.0026805484185841114
Luxembourg,Other RE,2020,9.1186644153984e-05
Luxembourg,Other RE,2021,0.0001082947882513752
Luxembourg,Pellets,2020,0.0002367150712074189
Luxembourg,Pellets,2021,0.0003218170306619369
Luxembourg,RenWaste,2020,0.00027153765744853265
Luxembourg,RenWaste,2021,0.00022762836694766695
Luxembourg,Solar PV,2020,0.00030948705914093277
Luxembourg,Solar PV,2021,0.0003619734527711782
Luxembourg,Solar Thermal,2020,4.975439696920925e-05
Luxembourg,Solar Thermal,2021,5.235839245972048e-05
Luxembourg,Solid Biofuels,2020,0.0018081430030890376
Luxembourg,Solid Biofuels,2021,0.0019633918964551043
Luxembourg,Wind,2020,0.0006738872916351822
Luxembourg,Wind,2021,0.0006314125350410591
Malta,Biogas,2020,2.1383043735705377e-05
Malta,Biogas,2021,1.7290445060467903e-05
Malta,Charcoal,2020,4.705630844745599e-06
Malta,Charcoal,2021,4.705630844745599e-06
Malta,Electricity,2020,0.00023617796978480973
Malta,Electricity,2021,0.0002723607714454362
Malta,GrandTotal,2020,0.0011814296960973023
Malta,GrandTotal,2021,0.0012111560404801575
Malta,Liquid Biofuels,2020,0.00028220312630694957
Malta,Liquid Biofuels,2021,0.00021405635695937835
Malta,Other RE,2020,0.0002807262508253736
Malta,Other RE,2021,0.00031548189950167193
Malta,Pellets,2020,9.642987619283806e-06
Malta,Pellets,2021,9.642987619283806e-06
Malta,Solar PV,2020,0.00022916308414250793
Malta,Solar PV,2021,0.000256448952979689
Malta,Solar Thermal,2020,9.915019749523438e-05
Malta,Solar Thermal,2021,0.0001009085589620136
Malta,Solid Biofuels,2020,1.822129153716614e-05
Malta,Solid Biofuels,2021,2.0202323233292926e-05
Malta,Wind,2020,5.611383176115172e-08
Malta,Wind,2021,5.811397425687479e-08
Netherlands,Biogas,2020,0.006665944999503724
Netherlands,Biogas,2021,0.00697649681061104
Netherlands,Charcoal,2020,0.0001250015370376296
Netherlands,Charcoal,2021,0.00012500200000799998
Netherlands,Electricity,2020,0.023335337386612292
Netherlands,Electricity,2021,0.029618853859809873
Netherlands,Geothermal,2020,0.0028636009096573416
Netherlands,Geothermal,2021,0.002929302886802287
Netherlands,GrandTotal,2020,0.1058637517611223
Netherlands,GrandTotal,2021,0.12539416777304102
Netherlands,Heat,2020,0.0036703654998098065
Netherlands,Heat,2021,0.004444599637509364
Netherlands,Hydropower,2020,4.114526578548856e-05
Netherlands,Hydropower,2021,8.118864316936932e-05
Netherlands,Liquid Biofuels,2020,0.012668882558099023
Netherlands,Liquid Biofuels,2021,0.013991761424678503
Netherlands,Other RE,2020,0.006229283926606075
Netherlands,Other RE,2021,0.007500454728057798
Netherlands,Pellets,2020,0.007095284845571793
Netherlands,Pellets,2021,0.010651946256795573
Netherlands,RenWaste,2020,0.006759994828681081
Netherlands,RenWaste,2021,0.007413209980383894
Netherlands,Solar PV,2020,0.007653049805352206
Netherlands,Solar PV,2021,0.010588488305755232
Netherlands,Solar Thermal,2020,0.0005444531555904
Netherlands,Solar Thermal,2021,0.0005388975111456
Netherlands,Solid Biofuels,2020,0.014565635823379686
Netherlands,Solid Biofuels,2021,0.013949669923228734
Netherlands,Wind,2020,0.013645771218608426
Netherlands,Wind,2021,0.016584295808511746
Norway,Biogas,2020,0.0009786990137987818
Norway,Biogas,2021,0.001014345242266701
Norway,Charcoal,2020,0.0005334292755067316
Norway,Charcoal,2021,0.0005400748447975272
Norway,Electricity,2020,0.08938644806616135
Norway,Electricity,2021,0.0939867143490911
Norway,GrandTotal,2020,0.25375178645015656
Norway,GrandTotal,2021,0.2666296610714249
Norway,Heat,2020,0.002239443741673756
Norway,Heat,2021,0.002828044865527493
Norway,Hydropower,2020,0.10935570937714408
Norway,Hydropower,2021,0.11182912983102608
Norway,Liquid Biofuels,2020,0.007627026341286176
Norway,Liquid Biofuels,2021,0.0077179962084019385
Norway,Other RE,2020,0.016583670111618
Norway,Other RE,2021,0.01735410352166081
Norway,Pellets,2020,0.000865369941431926
Norway,Pellets,2021,0.0015911053184907175
Norway,RenWaste,2020,0.0022166407062886727
Norway,RenWaste,2021,0.0022502944398731218
Norway,Solar PV,2020,0.00010468638062557067
Norway,Solar PV,2021,0.00013559869438332237
Norway,Solar Thermal,2020,2.6852281483199996e-05
Norway,Solar Thermal,2021,2.6852281483199996e-05
Norway,Solid Biofuels,2020,0.016189560031035773
Norway,Solid Biofuels,2021,0.018211337888633442
Norway,Wind,2020,0.007644251181551223
Norway,Wind,2021,0.009144063579496197
Poland,Biogas,2020,0.0034063869691069305
Poland,Biogas,2021,0.003323545228855609
Poland,Electricity,2020,0.021117345097957742
Poland,Electricity,2021,0.02043737602948142
Poland,Geothermal,2020,0.0004969898961873624
Poland,Geothermal,2021,0.00055057593873894
Poland,GrandTotal,2020,0.2331633323570847
Poland,GrandTotal,2021,0.23343379655455565
Poland,Heat,2020,0.004027558762445465
Poland,Heat,2021,0.004414439403389681
Poland,Hydropower,2020,0.0017742438838577867
Poland,Hydropower,2021,0.0018696127217779199
Poland,Liquid Biofuels,2020,0.020193460728825885
Poland,Liquid Biofuels,2021,0.021748464687642594
Poland,Other RE,2020,0.0057776550927129255
Poland,Other RE,2021,0.007172989166147838
Poland,Pellets,2020,0.004697704273477536
Poland,Pellets,2021,0.005847285222107553
Poland,RenWaste,2020,0.017527058619387564
Poland,RenWaste,2021,0.012408058456722737
Poland,Solar PV,2020,0.0016398809482741456
Poland,Solar PV,2021,0.003144643741165229
Poland,Solar Thermal,2020,0.0015534813368846062
Poland,Solar Thermal,2021,0.0016511328992908558
Poland,Solid Biofuels,2020,0.1377180065071872
Poland,Solid Biofuels,2021,0.1378908613631095
Poland,Wind,2020,0.013233560242139106
Poland,Wind,2021,0.012974811704064029
Portugal,Biogas,2020,0.0005272019038020786
Portugal,Biogas,2021,0.0005573440040868712
Portugal,Charcoal,2020,0.0003735363777448936
